rank,score,tier,l1,l2,l3,l4,l5,name,retailer,country,price,cur,azn,reviews,bestseller_ranks,countries,url,img,ev
211,63.6,Ranked in 2 chains,HOME TEXTILES,Window textiles,Blinds,Venetian blinds,Horizontal PVC venetian blind (60-80 cm),"Жалюзи, Home Time, 60x160 см, в ассортименте",Fix Price,Kazakhstan,1699.0,KZT,6.48,0,#9 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)); #15 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5073071-jalyuzi-ome-ime-60160-sm-v-assortimente,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/4a/4abbbc21cbf307279a20cd5437eeb06d.jpg,Fix Price Kazakhstan: #9 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first); Fix Price Russia: #15 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold)
212,63.0,Ranked in 1 chain,"TEA, COFFEE & TABLE",Tableware,Bowls,Dessert Bowls,"Glass dessert / ice-cream bowls, 2-pack",Lav Destina Cam Dondurma & Tatlı Kasesi 2'li Küçük Boy 285 ml (Reçellik),n11,Turkey,146.54,TRY,5.1,332,#5 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa),"Poland, Turkey",https://www.n11.com/urun/lav-destina-cam-dondurma-tatli-kasesi-2li-kucuk-boy-285-ml-recellik-4538520,https://n11scdn.akamaized.net/a1/400_570/01/12/22/69/IMG-3464607730014835498.jpg,"Carrefour Poland: #5 in 'Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa' (most popular) | n11 TR 146.54 TL on search listing, 5.0 stars / 332 reviews (284 comments) - top-reviewed item in 'recellik' search; n11 also Porsima Flower 6'li glass bowl set 279.94 TL; Action PL: 'Miska Luminarc' Ø13 cm 3.49 zl glass bowl"
213,62.9,Ranked in 2 chains,"LAUNDRY, BATH & WARDROBE",Wardrobe,Shoe care,Shoe cleaning tools,Suede / sneaker cleaning eraser,"Ластик для чистки обуви, Happy Foot, 7 см",Fix Price,Russia,59.0,RUB,1.18,0,#19 Fix Price Russia (Для дома > Аксессуары для обуви (shoe care accessories)); #36 Fix Price Kazakhstan (Для дома > Аксессуары для обуви (Shoe care)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5079367-lastik-dlya-chistki-obuvi-appy-oot-7-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/82/82f4e2d09de3ddda21ace38e9ceac5b2.jpg,Fix Price Russia: #19 in 'Для дома > Аксессуары для обуви (shoe care accessories)' (sorted by units sold); Fix Price Kazakhstan: #36 in 'Для дома > Аксессуары для обуви (Shoe care)' (popular first)
214,62.9,Ranked in 2 chains,DECOR & ORGANISATION,Storage & Organisation,Cupboard Organisers,Shelf liners,Shelf / drawer liner mat,"Набор многофункциональных кухонных ковриков, O'Kitchen, 45х29 см, 2 шт., в ассортименте",Fix Price,Russia,62.0,RUB,1.24,0,#23 Fix Price Russia (Для дома > Для кухни (Kitchen)); #60 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/dlya-kukhni/p-5024266-nabor-mnogofunktsionalnyh-kuhonnyh-kovrikov-itchen-45h29-sm-2-sht-v-assortimente,https://img.fix-price.com/insecure/rs:fit:300:300/plain/pim/images/3b8f95c8dcba75a19076ab7416142095.jpg,Fix Price Russia: #23 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold); Fix Price Kazakhstan: #60 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first)
215,62.9,Ranked in 2 chains,HOUSEHOLD CLEANING,Cleaning Cloths,Dishcloths,Bamboo,Bamboo fibre cleaning cloths,"Салфетка из бамбукового волокна, BonHome, 5 шт., в ассортименте",Fix Price,Russia,99,RUB,1.99,0,#18 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)); #39 Fix Price Russia (Для дома > Для уборки (cleaning tools)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/tovary-dlya-uborki/p-5040184-salfetka-iz-bambukovogo-volokna-onome-5-sht-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/salfetka_anons.jpg,Fix Price Kazakhstan: #18 in 'Для дома > Для уборки (Cleaning)' (popular first); Fix Price Russia: #39 in 'Для дома > Для уборки (cleaning tools)' (sorted by units sold) | Fix Price RU & KZ 'Для уборки' (99 RUB); Fix Price also sells 'Тряпки для уборки Бамбук' 50-pack roll (RU & KZ)
216,62.9,Ranked in 2 chains,DECOR & ORGANISATION,Decorative Accessories,Wall Decor,Wall art,Wall art print / canvas picture,"Настенный декор-репродукция, в ассортименте",Fix Price,Russia,99.0,RUB,1.99,0,"#11 Fix Price Russia (Сувениры и подарки > Фоторамки, фотоальбомы, постеры (frames, wall decor)); #47 Fix Price Kazakhstan (Декор для дома > Товары для декора (Decor))","Kazakhstan, Russia",https://fix-price.com/catalog/suveniry-i-podarki/p-5213047-nastennyy-dekor-reproduktsiya-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/4a/4a47f55db58a4364aa3b3901ec8e7e9b.jpg,"Fix Price Russia: #11 in 'Сувениры и подарки > Фоторамки, фотоальбомы, постеры (frames, wall decor)' (sorted by units sold); Fix Price Kazakhstan: #47 in 'Декор для дома > Товары для декора (Decor)' (popular first)"
217,62.9,Ranked in 2 chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Furniture & Door Accessories,Furniture repair,Furniture touch-up markers & wax crayons set,"Маркеры и карандаши для мебели корректирующие, Master Hand, 6 шт., в ассортименте",Fix Price,Kazakhstan,649.0,KZT,2.48,0,#22 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #30 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5006234-markery-i-karandashi-dlya-mebeli-korrektiruyuschie-aster-and-6-sht-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/fc9a1cf9929b5f422f169d5472cc6f6b_34.jpg,Fix Price Kazakhstan: #22 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #30 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold)
218,62.9,Ranked in 2 chains,KITCHEN TOOLS,Cutting & slicing tools,Kitchen knives,Ceramic,Ceramic kitchen knife,"Нож керамический, O'Kitchen, 19 см, в ассортименте",Fix Price,Russia,124,RUB,2.49,0,#20 Fix Price Russia (Для дома > Для кухни (Kitchen)); #25 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5021355-noj-keramicheskiy-itchen-19-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/noz_anons.jpg,"Fix Price Russia: #20 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold); Fix Price Kazakhstan: #25 in 'Для дома > Для кухни (Kitchen)' (popular first) | Fix Price 124 RUB; Fix Price kitchen category sorted 'popular first' (dlya-kukhni?sort=sold, 78 pages x 24): this SKU is #20 on page 1 = top 20 of ~1,870 kitchen SKUs (the highest-ranked knife); 20.5 cm ceramic knife on page 13; also folding ceramic knife SKU"
219,62.9,Ranked in 2 chains,HOME ESSENTIALS & DIY,Electrical & Power,Lighting,Night & utility lights,LED dust-revealing light for vacuum cleaner,"Подсветка для пылесоса светодиодная, FLARX",Fix Price,Kazakhstan,999.0,KZT,3.81,0,"#18 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #26 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile))","Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/elektrotovary/p-5013547-podsvetka-dlya-pylesosa-svetodiodnaya-,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/5f466af21d406d9d652def5e5b224c6a_33.jpg,"Fix Price Kazakhstan: #18 in 'Для дома > Электротовары (Electrical)' (popular first); Fix Price Russia: #26 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold)"
220,62.9,Ranked in 2 chains,DECOR & ORGANISATION,Decorative Accessories,Wall Decor,Wall panels,"Self-adhesive 3D wall panels 30x30, multipack","Панель настенная, Home Time, 30х30 см, 4 шт., в ассортименте",Fix Price,Russia,199.0,RUB,3.99,0,#19 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)); #37 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/dlya-remonta/p-5079208-panel-nastennaya-ome-ime-30h30-sm-4-sht-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/_default_upload_bucket/5079208.jpg,Fix Price Russia: #19 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold); Fix Price Kazakhstan: #37 in 'Для дома > Для ремонта (Repair / tools)' (popular first)
221,62.9,Ranked in 2 chains,DECOR & ORGANISATION,Decorative Accessories,Mirrors,Small Mirrors,Small decorative wall / table mirror,Lustro 21 x 29 cm,Action,Poland,12.95,PLN,5.72,0,#23 Fix Price Kazakhstan (Для дома > Для ванной (Bathroom)); #36 Fix Price Russia (Для дома > Для ванной (bathroom)),"Kazakhstan, Poland, Russia",https://www.action.com/pl-pl/p/3016697/lustro/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3016697_8718964298631-111_01_ehifbw.webp,"Fix Price Kazakhstan: #23 in 'Для дома > Для ванной (Bathroom)' (popular first); Fix Price Russia: #36 in 'Для дома > Для ванной (bathroom)' (sorted by units sold) | Action PL 12.95 zl; Action 'Lustra' lists 11 mirrors, 7 under 20 zl; Fix Price RU and KZ list 'Зеркало настольное, Lovely'; Fix Price KZ also 'Зеркало ""Цветок"" 25x25', 'Зеркало ""Капля""', decorative mirror 24x35"
222,62.5,Ranked in 1 chain,"TEA, COFFEE & TABLE",Table Accessories,Condiment Serving,Sugar Bowls,Glass sugar bowl with spoon,"Сахарница сахарница с ложкой 1 шт, стекло",Kaspi,Kazakhstan,998,KZT,3.81,0,#10 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa),"Kazakhstan, Poland, Russia, Turkey",https://kaspi.kz/shop/p/saharnitsa-saharnitsa-s-lozhkoi-1-sht-steklo-123448488/,https://resources.cdn-kaspi.kz/img/m/p/h53/h64/87093071314974.jpg?format=gallery-large,"Carrefour Poland: #10 in 'Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa' (most popular) | Kaspi 998 KZT (category Сервировка стола > Сахарницы и молочники); Fix Price carries 6+ sugar-bowl SKUs incl. 'Сахарница, Pasabahce, 450 мл', 'Сахарница, O'Kitchen, 420 мл', 'Стеклянная сахарница с крышкой'; Trendyol dedicated 'Kapakli Sekerlik' and 'Toz Sekerlik' listing pages"
223,62.5,Ranked in 1 chain,"TEA, COFFEE & TABLE",Tea & Coffee Serving,Tea Accessories,Tea Infusers,Tea infuser basket with lid (mug-size),Sitko do herbaty,Action,Poland,8.95,PLN,3.96,0,#9 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Filtry do wody),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3212897/sitko-do-herbaty/,https://asset.action.com/image/upload/t_digital_product_image/w_1080/3212897_3560231099459-110_01_dq5deu.webp,"Carrefour Poland: #9 in 'Wyposażenie domu > Kuchnia i jadalnia > Filtry do wody' (most popular) | Action PL 8.95 zl (135 ml stainless basket with handles and lid); Fix Price: 'Ёмкость для заваривания чая, O'Kitchen, 50 мл' and 'Ситечко для чая, O`Kitchen'; Kaspi: 'IKEA ситечко для чая 40378241, сталь'; Trendyol: 'Tohana Celik Top Cay Suzgeci 5 cm'"
224,62.3,Ranked in 1 chain,HOUSEHOLD CLEANING,Window & Surface Tools,Squeegees,Hand squeegees,Handheld window & shower squeegee,"Водосгон, BonHome, 30 см, в ассортименте",Fix Price,Kazakhstan,733,KZT,2.8,2,#17 Carrefour Poland (Wyposażenie domu > Domowe porządki > Mopy i szczotki),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.kz/ru/catalog/dlya-doma/p-5040615-vodosgon-onome-30-sm-v-assortimente,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/44/446a759d8370062278e18b810e63c757.jpg,Carrefour Poland: #17 in 'Wyposażenie domu > Domowe porządki > Mopy i szczotki' (most popular) | Fix Price KZ 733 KZT (also on Fix Price RU); Action PL: 2 SKUs 'Ściągaczka do mycia okien i prysznica'; n11 TR: Titiz TP-182 camsil 2 reviews
225,62.0,Ranked in 1 chain,"COOK, BAKE & GRILL",Bakeware,Cake tins,Springform,Springform cake tin (18-26 cm),Tortownica Zenker Ø 18 cm,Action,Poland,24.95,PLN,11.03,138,#3 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Formy do ciast),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3002419/tortownica-zenker/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3002419_4044935090602-110_01_oigqyu.webp,"Carrefour Poland: #3 in 'Wyposażenie domu > Kuchnia i jadalnia > Formy do ciast' (most popular) | Action PL core range (Formy do pieczenia ciast; also Ø26 cm at 24.95 zl); n11 TR: Emsan 2-piece springform set 138 ratings, Tefal DeliBake 24 cm 79 ratings, Tefal 20 cm 67 ratings; flip.kz: Fissman springform 14 reviews, Appetite' 20 cm at 1,369 KZT; Fix Price RU O'Kitchen expandable sponge-cake tin"
226,61.9,Ranked in 2 chains,HOME ESSENTIALS & DIY,Fixing & Hanging,Furniture & Door Accessories,Draught proofing,Self-adhesive door/window draught seal strip,Contacall Pimapen Pvc Kapı Pencere Fitili Contası 25 Metre Gri Uzunluk,n11,Turkey,549,TRY,19.11,183,#20 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #20 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Russia, Turkey",https://www.n11.com/urun/contacall-pimapen-pvc-kapi-pencere-fitili-contasi-25-metre-gri-uzunluk-34276045,https://n11scdn.akamaized.net/a1/400_570/13/70/62/38/IMG-8847153638345328584.jpg,"Fix Price Kazakhstan: #20 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #20 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold) | n11 549 TL (search listing), 54 ratings / 42 reviews; n11 glass-balcony seals 183 reviews; Fix Price Master Hand window & door seal 2 pcs; Action PL draught stopper 21.95 zl"
227,61.8,Ranked in 2 chains,DECOR & ORGANISATION,Storage & Organisation,Cupboard Organisers,Tiered shelves,Countertop organiser shelf / riser (1-3 tier),"Двухъярусная полка ""Лакдеморон"", 28х12х25 см, в ассортименте",Fix Price,Russia,399.0,RUB,8.01,0,"#13 Fix Price Russia (Сувениры и подарки > Подставки, шкатулки, светильники (trays, boxes, decorative lights)); #21 Fix Price Kazakhstan (Для дома > Аксессуары для обуви (Shoe care))","Kazakhstan, Russia",https://fix-price.com/catalog/suveniry-i-podarki/p-5246098-dvuhyarusnaya-polka-lakdemoron-28h12h25-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/09/090a521d931afaac33403f47800d9812.jpg,"Fix Price Russia: #13 in 'Сувениры и подарки > Подставки, шкатулки, светильники (trays, boxes, decorative lights)' (sorted by units sold); Fix Price Kazakhstan: #21 in 'Для дома > Аксессуары для обуви (Shoe care)' (popular first)"
228,61.8,Ranked in 2 chains,DECOR & ORGANISATION,Storage & Organisation,Shoe Storage,Shoe racks,"Shoe rack, 3-4 tier","Полка для обуви, Home Time, 4 яруса, 65х19х58 см, в ассортименте",Fix Price,Russia,399.0,RUB,8.01,0,#16 Fix Price Russia (Для дома > Аксессуары для обуви (shoe care accessories)); #17 Fix Price Kazakhstan (Для дома > Аксессуары для обуви (Shoe care)),"Kazakhstan, Russia",https://fix-price.com/catalog/dlya-doma/p-5079068-polka-dlya-obuvi-ome-ime-4-yarusa-65h19h58-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/8b/8b1f54fdc457e198d38f3da987280633.jpg,Fix Price Russia: #16 in 'Для дома > Аксессуары для обуви (shoe care accessories)' (sorted by units sold); Fix Price Kazakhstan: #17 in 'Для дома > Аксессуары для обуви (Shoe care)' (popular first)
229,61.8,Ranked in 2 chains,HOME TEXTILES,Window textiles,Blinds,Roller blinds,Fabric roller blind (60-80 cm),"Штора рулонная, Home Time, 60х170 см, в ассортименте",Fix Price,Kazakhstan,2199.0,KZT,8.39,0,#15 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)); #17 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5073091-shtora-rulonnaya-ome-ime-60h170-sm-v-assortimente,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/f9/f90c9cfe0cab8697ec7c9e3ab69db47d.jpg,Fix Price Kazakhstan: #15 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first); Fix Price Russia: #17 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold)
230,61.6,Ranked in 2 chains,KITCHEN TOOLS,Cooking utensils,Baking utensils,Brushes,Silicone pastry brush,Silikonowy pędzelek kuchenny,Action,Poland,3.49,PLN,1.54,0,#72 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne); #231 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3222070/silikonowy-pedzelek-kuchenny/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3222070_3560231324469-111_01_nm6cak.webp,"Carrefour Poland: #72 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular); Fix Price Russia: #231 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Action PL 3.49 zl (listed in Kuchnia > Akcesoria kuchenne); Fix Price core range: several O'Kitchen кисточка кулинарная SKUs incl. 27 cm at 79 RUB (search title); Kaspi: multiple silicone кисть кулинарная listings (In House, Top Choice); n11: many silicone yağ fırçası listings"
231,61.6,Ranked in 2 chains,"TEA, COFFEE & TABLE",Tableware,Plates,Opal Glass Plates,"Opal glass side plate, 22 cm",Talerz śniadaniowy Luminarc Lexa,Action,Poland,3.49,PLN,1.54,0,#15 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa); #155 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Poland, Russia",https://www.action.com/pl-pl/p/3218045/talerz-sniadaniowy-luminarc-lexa/,https://asset.action.com/image/upload/t_digital_product_image/w_1080/3218045_883314055153-110_01_l508ui.webp,"Carrefour Poland: #15 in 'Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa' (most popular); Fix Price Russia: #155 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Action PL 3.49 zl (opal glass, microwave-safe); Action also Bormioli opal plate 8.95 zl; Fix Price: 'Тарелка ""Золотой Опал"", O'Kitchen, 25 см' and 'Блюдце чайное ""Золотой Опал""' - opal glass line in core range"
232,61.6,Ranked in 2 chains,"TEA, COFFEE & TABLE",Serving,Cake & Sweets,Candy Dishes,Glass candy dish on pedestal,Szklana bombonierka na podstawce,Action,Poland,3.99,PLN,1.76,0,#76 Fix Price Russia (Для дома > Для кухни (Kitchen)); #90 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3219772/szklana-bombonierka-na-podstawce/,https://asset.action.com/image/upload/t_digital_product_image/w_1080/3219772_8718885337792-111_01_bcmolc.webp,"Fix Price Russia: #76 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold); Fix Price Kazakhstan: #90 in 'Для дома > Для кухни (Kitchen)' (popular first) | Action PL 3.99 zl (10x10x7 cm); Action also 'Szklana bomboniera' 800 ml 11.95 zl, 'Bomboniera' 2-level 12.95 zl; Fix Price: 'Конфетница с крышкой, O'Kitchen, 490 мл'; Trendyol dedicated 'Sekerlik & Lokumluk' category"
233,61.6,Ranked in 2 chains,"LAUNDRY, BATH & WARDROBE",Wardrobe,Hangers,Clothes hangers,Trouser/skirt hangers with clips,"Вешалки для брюк, Home Time, 2 шт., в ассортименте",Fix Price,Russia,99,RUB,1.99,0,#7 Fix Price Russia (Для дома > Аксессуары для одежды (clothes accessories)); #8 Fix Price Kazakhstan (Для дома > Аксессуары для одежды (Clothes care)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5060451-veshalki-dlya-bryuk-ome-ime-2-sht-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/ad/ad18433310e5b62035d929f696e5f6ce.jpg,"Fix Price Russia: #7 in 'Для дома > Аксессуары для одежды (clothes accessories)' (sorted by units sold); Fix Price Kazakhstan: #8 in 'Для дома > Аксессуары для одежды (Clothes care)' (popular first) | Fix Price 99 RUB on card promo; Action PL 'Wieszaki na spodnie – 28 cm, 3 szt.'; Kaspi: 'Набор вешалок Вешалки для брюк 10 шт', 'Вешалка для брюк 771286'; Trendyol: many 'mandallı pantolon etek askısı' listings (10/20/50 pcs)"
234,61.6,Ranked in 2 chains,KITCHEN TOOLS,Measuring tools,Measuring jugs,Plastic,Plastic measuring jug,Zestaw dzbanów do wymiarkowywania,Action,Poland,7.95,PLN,3.51,0,#73 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne); #158 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/2525351/zestaw-dzbanow-do-wymiarkowywania/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/2525351_5710255203006-110_01_fqjcc7.webp,"Carrefour Poland: #73 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular); Fix Price Russia: #158 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Action PL 7.95 zl (jug set); Fix Price kitchen category sorted 'popular first' (fix-price.com/catalog/dlya-doma/dlya-kukhni?sort=sold): 'Мерный стакан, Ханпласт, 0,5 л' on page 7, 'Мерный стакан, O'Kitchen, 1 л' page 14, O'Kitchen кувшин мерный 900 ml at 79 RUB (search title); Kaspi: мерный стакан 500 ml silicone; n11: Porsima 3-pc measuring beaker set"
235,61.4,Ranked in 1 chain,"LAUNDRY, BATH & WARDROBE",Bath,Shower,Shower fittings,Shower hose,Wąż prysznicowy Cascata,Action,Poland,6.95,PLN,3.07,301,#38 Fix Price Russia (Для дома > Для ванной (bathroom)),"Poland, Russia, Turkey",https://www.action.com/pl-pl/p/2562482/waz-prysznicowy-cascata/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/2562482_8718964180066-110_01_ivd89w.webp,"Fix Price Russia: #38 in 'Для дома > Для ванной (bathroom)' (sorted by units sold) | Action PL 6.95 zl ('Akcesoria łazienkowe'); n11: Ahlez spiral hose 99 ratings, Kustar PVC 1.5 m 55 ratings, Berev steel 61 ratings, ECA 150 cm 301 ratings; Fix Price sells head+hose set 299 RUB"
236,61.4,Ranked in 1 chain,KITCHEN TOOLS,Measuring tools,Funnels,Plastic,Kitchen funnel,"Воронка для варенья, Полимербыт, 14,5 см, в ассортименте",Fix Price,Russia,20.7,RUB,0.42,48,#40 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne),"Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5022809-voronka-dlya-varenya-polimerbyt-145-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/53/53baafb5dfef24acd04c769be4cea468.jpg,"Carrefour Poland: #40 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular) | Fix Price 20.70 RUB; Fix Price kitchen category sorted 'popular first' (dlya-kukhni?sort=sold, 78 pages x 24): this SKU on page 11; collapsible O'Kitchen funnel on page 15; n11: water-jug filling funnel 48 reviews, steel wide-mouth jar funnel 4 reviews"
237,61.3,Ranked in 2 chains,FOOD STORAGE & DRINKWARE-TO-GO,Drinkware to go,Water bottles,Plastic bottles,Plastic sports water bottle (500-750 ml),Bidon Kaytan,Action,Poland,4.29,PLN,1.9,0,#58 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)); #62 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia",https://www.action.com/pl-pl/p/3217750/bidon-kaytan/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3217750_5701390675100-111_01_hi2imx.webp,"Fix Price Kazakhstan: #58 in 'Для дома > Для кухни (Kitchen)' (popular first); Fix Price Russia: #62 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Action PL 4.29 zl (700 ml); Action also 'Bidon' 750 ml 8.79 zl, 'Butelka na napoje' 1 l 13.35 zl; Fix Price RU 'Бутылка для воды, O'Kitchen, 500 мл' (83 RUB in page title) and 480 ml (69 RUB); Kaspi KZ 'Бутылка 30315376 500 мл'"
238,61.3,Ranked in 2 chains,"TEA, COFFEE & TABLE",Serving,Boards & Trays,Serving Boards,Small wooden serving board (acacia),Drewniana deska do serwowania,Action,Poland,7.49,PLN,3.31,0,#54 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)); #114 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia",https://www.action.com/pl-pl/p/3220266/drewniana-deska-do-serwowania/,https://asset.action.com/image/upload/t_digital_product_image/w_1080/3220266_8718964258512-110_02_yzf8fa.webp,"Fix Price Kazakhstan: #54 in 'Для дома > Для кухни (Kitchen)' (popular first); Fix Price Russia: #114 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Action PL 7.49 zl (30x13 cm, FSC acacia); Action carries 4 serving-board SKUs (7.49-39.95 zl); Kaspi: 'Doskikz подставка сервировочная 15см для кружки, для десерта, дерево'"
239,60.9,Ranked in 2 chains,HOME ESSENTIALS & DIY,Electrical & Power,Mobile & Charging,Phone holders & stands,Phone screen magnifier stand,"Увеличительный экран для телефона, FLARX, в ассортименте",Fix Price,Kazakhstan,1599.0,KZT,6.1,0,"#10 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #45 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile))","Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/elektrotovary/p-5013352-uvelichitelnyy-ekran-dlya-telefona--v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/470108dae1b54255afc600fb6525031e_32.jpg,"Fix Price Kazakhstan: #10 in 'Для дома > Электротовары (Electrical)' (popular first); Fix Price Russia: #45 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold)"
